"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
KENYA,19192458,19417639,38610097,8767954,581313.17,66.42,,,
    NAIROBI,1605230,1533139,3138369,985016,695.1,4514.96,,,
        NAIROBI WEST,352227,332538,684765,212295,261.78,2615.81,,,
            DAGORETTI,166391,163186,329577,103818,38.62,8533.89,,,
                KAWANGWARE,59430,53856,113286,38249,3.89,29091.7,,,
                    GATINA,24747,21125,45872,15987,1.51,30411.03,,,
                    KAWANGWARE,34683,32731,67414,22262,2.39,28257.53,,,
                KENYATTA /GOLF COURSE,16710,18645,35355,9401,9.52,3714.27,,,
                    KENYATTA /GOLF COURSE,10876,11940,22816,5987,5.1,4474.69,,,
                    WOODLEY,5834,6705,12539,3414,4.42,2837.01,,,
                MUTUINI,9015,8958,17973,5454,5.02,3582.92,,,
                    KIRIGU,6097,6111,12208,3694,1.74,7027.4,,,
                    MUTUINI,2918,2847,5765,1760,3.28,1758.1,,,
                RIRUTA,49985,49349,99334,31407,7.32,13574.11,,,
                    NGANDO,17615,16399,34014,11162,3.16,10757.12,,,
                    RIRUTA,32370,32950,65320,20245,4.16,15717.41,,,
                UTHIRU-RUTHIMITU,15928,16647,32575,9868,7.9,4124.41,,,
                    RUTHIMITU,7493,7776,15269,4434,4.84,3155.73,,,
                    UTHIRU,8435,8871,17306,5434,3.06,5656.29,,,
                WAITHAKA,15323,15731,31054,9439,4.97,6242.39,,,
                    KABIRIA,4859,4254,9113,2948,2.69,3385.84,,,
                    WAITHAKA,10464,11477,21941,6491,2.28,9609.76,,,
            KIBERA,185836,169352,355188,108477,223.16,1591.63,,,
                KAREN,7450,6338,13788,4223,39.63,347.91,,,
                    KAREN,4768,4028,8796,2861,23.04,381.78,,,
                    LENANA,2682,2310,4992,1362,16.59,300.88,,,
                KIBERA,48001,39548,87549,28878,1.55,56483.23,,,
                    KIBERA,5293,4493,9786,3237,0.15,65196.54,,,
                    LINDI,19545,15613,35158,11551,0.5,70301.94,,,
                    MAKINA,12965,12277,25242,7926,0.66,38508.01,,,
                    SIRANGA,10198,7165,17363,6164,0.24,71072.45,,,
                LAINI SABA,28547,23826,52373,18341,0.76,68785.13,,,
                    LAINI SABA,15688,12494,28182,9927,0.37,75941.79,,,
                    NYAYO HIGHRISE,12859,11332,24191,8414,0.39,61980.53,,,
                LANGATA,10867,8648,19515,5434,31.76,614.42,,,
                    HARDY,4848,4266,9114,2568,14.28,638.09,,,
                    LANGATA,6019,4382,10401,2866,17.48,595.07,,,
                MUGUMO-INI,22322,24715,47037,13079,126.41,372.09,,,
                    BOMAS,7912,8734,16646,4601,123.43,134.86,,,
                    MUGUMO-INI,14410,15981,30391,8478,2.98,10186.36,,,
                NAIROBI WEST,39840,40739,80579,22925,22.01,3661.83,,,
                    NAIROBI WEST,15812,17565,33377,9166,6.91,4833.11,,,
                    SOUTH C,24028,23174,47202,13759,15.1,3126.13,,,
                SERANGOMBE,28809,25538,54347,15597,1.04,52433.19,,,
                    GATWIKIRA,13580,11411,24991,7270,0.29,85322.64,,,
                    OLYMPIC/KYANDA,15229,14127,29356,8327,0.74,39478.21,,,
        NAIROBI EAST,582554,561862,1144416,369866,226.69,5048.46,,,
            EMBAKASI,468097,457678,925775,296942,203.63,4546.27,,,
                DANDORA,71452,70594,142046,47808,3.92,36253.8,,,
                    DANDORA 'A',28362,28115,56477,20163,1.97,28672.89,,,
                    DANDORA 'B',43090,42479,85569,27645,1.95,43917.57,,,
                EMBAKASI,45354,42616,87970,25982,59.95,1467.27,,,
                    EMBAKASI,32674,32360,65034,19815,45.03,1444.17,,,
                    MIHANGO,12680,10256,22936,6167,14.92,1537,,,
                KARIOBANGI SOUTH,26995,28994,55989,17119,4.82,11612.6,,,
                    KARIOBANGI SOUTH,15363,17673,33036,9869,1.41,23479.74,,,
                    MOWLEM,11632,11321,22953,7250,3.41,6722.41,,,
                KAYOLE,85860,90089,175949,53711,5.47,32175.59,,,
                    KAYOLE,69665,70656,140321,45672,2.39,58655.27,,,
                    KOMA ROCK,16195,19433,35628,8039,3.08,11582.2,,,
                MUKURU KWA NJENGA,111085,89957,201042,75420,12.02,16720.34,,,
                    IMARA DAIMA,39466,31175,70641,26222,3.92,18042.3,,,
                    MUKURU KWA NJENGA,71619,58782,130401,49198,8.11,16082.01,,,
                NJIRU,25377,24076,49453,15441,9.06,5458.75,,,
                    NJIRU,11847,10635,22482,7496,5.18,4338.81,,,
                    SAIKA,13530,13441,26971,7945,3.88,6955.23,,,
                RUAI,18186,17775,35961,9848,100.48,357.9,,,
                    NGUNDU,4870,4643,9513,2532,51.52,184.63,,,
                    RUAI,13316,13132,26448,7316,48.95,540.25,,,
                UMOJA,83788,93577,177365,51613,7.91,22422.88,,,
                    UMOJA 'II',45724,55753,101477,28097,3.13,32472.64,,,
                    SAVANNAH,38064,37824,75888,23516,4.79,15859.56,,,
            MAKADARA,114457,104184,218641,72924,23.05,9484.69,,,
                MAKADARA,22360,26129,48489,13516,3.46,14012.95,,,
                    HAMZA,8023,8228,16251,5348,0.89,18232.92,,,
                    HARAMBEE,11513,14746,26259,6561,2.19,11994.24,,,
                    LUMUMBA/JERICHO,2824,3155,5979,1607,0.38,15746.64,,,
                MAKONGENI,10721,9342,20063,6280,1.28,15646.1,,,
                    KALOLENI,4153,3608,7761,2536,0.61,12796.37,,,
                    MAKONGENI,6568,5734,12302,3744,0.68,18203.61,,,
                MARINGO,12842,12554,25396,8031,1.11,22889.59,,,
                    MBOTELA,5601,5358,10959,3304,0.46,23654.22,,,
                    OFAFA MARINGO,7241,7196,14437,4727,0.65,22341.38,,,
                MUKURU NYAYO,27277,26026,53303,17357,5.93,8982.64,,,
                    HAZINA,10492,10393,20885,6445,4.38,4773.06,,,
                    NAIROBI SOUTH,16785,15633,32418,10912,1.56,20802.1,,,
                VIWANDANI,41257,30133,71390,27740,11.27,6336.82,,,
                    LANDI MAWE,15434,11075,26509,9814,5.55,4772.1,,,
                    VIWANDANI,25823,19058,44881,17926,5.71,7858.83,,,
        NAIROBI NORTH,545701,516385,1062086,327428,109.26,9720.77,,,
            CENTRAL,142097,132510,274607,87519,10.71,25640.24,,,
                HURUMA,54787,51532,106319,34017,1.37,77656.12,,,
                    HURUMA,37734,34761,72495,23800,0.7,103431.3,,,
                    KIAMAIKO,17053,16771,33824,10217,0.67,50619.57,,,
                NGARA,12325,13029,25354,7749,2.59,9797.13,,,
                    NGARA EAST,7507,8076,15583,5067,1.31,11930.94,,,
                    NGARA WEST,4818,4953,9771,2682,1.28,7622.87,,,
                KARIOKOR,22278,23702,45980,11961,2.51,18296.86,,,
                    PANGANI,17702,19360,37062,9343,1.68,22001.78,,,
